variant,threshold,accuracy,f1,roc_auc,sensitivity,specificity,ppv,npv,balanced_accuracy,false_ready_rate,missed_ready_rate
baseline,0.6700000000000004,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.6800000000000004,0.995,0.995049504950495,0.9999499921862791,0.9925925925925926,0.9974683544303797,0.9975186104218362,0.9924433249370277,0.9950304735114861,0.002531645569620253,0.007407407407407408
baseline,0.6900000000000004,0.995,0.995049504950495,0.9999499921862791,0.9925925925925926,0.9974683544303797,0.9975186104218362,0.9924433249370277,0.9950304735114861,0.002531645569620253,0.007407407407407408
baseline,0.7000000000000004,0.99375,0.9938042131350682,0.9999499921862791,0.9901234567901235,0.9974683544303797,0.9975124378109452,0.9899497487437185,0.9937959056102517,0.002531645569620253,0.009876543209876543
baseline,0.7100000000000004,0.99375,0.9938042131350682,0.9999499921862791,0.9901234567901235,0.9974683544303797,0.9975124378109452,0.9899497487437185,0.9937959056102517,0.002531645569620253,0.009876543209876543
baseline,0.7200000000000004,0.99375,0.9938042131350682,0.9999499921862791,0.9901234567901235,0.9974683544303797,0.9975124378109452,0.9899497487437185,0.9937959056102517,0.002531645569620253,0.009876543209876543
baseline,0.7300000000000004,0.99375,0.9938042131350682,0.9999499921862791,0.9901234567901235,0.9974683544303797,0.9975124378109452,0.9899497487437185,0.9937959056102517,0.002531645569620253,0.009876543209876543
baseline,0.7400000000000004,0.99375,0.9938042131350682,0.9999499921862791,0.9901234567901235,0.9974683544303797,0.9975124378109452,0.9899497487437185,0.9937959056102517,0.002531645569620253,0.009876543209876543
baseline,0.7500000000000004,0.99375,0.9938042131350682,0.9999499921862791,0.9901234567901235,0.9974683544303797,0.9975124378109452,0.9899497487437185,0.9937959056102517,0.002531645569620253,0.009876543209876543
baseline,0.7600000000000005,0.99375,0.9938042131350682,0.9999499921862791,0.9901234567901235,0.9974683544303797,0.9975124378109452,0.9899497487437185,0.9937959056102517,0.002531645569620253,0.009876543209876543
baseline,0.7700000000000005,0.99375,0.9938042131350682,0.9999499921862791,0.9901234567901235,0.9974683544303797,0.9975124378109452,0.9899497487437185,0.9937959056102517,0.002531645569620253,0.009876543209876543
baseline,0.7800000000000005,0.99375,0.9938042131350682,0.9999499921862791,0.9901234567901235,0.9974683544303797,0.9975124378109452,0.9899497487437185,0.9937959056102517,0.002531645569620253,0.009876543209876543
baseline,0.7900000000000005,0.99375,0.9938042131350682,0.9999499921862791,0.9901234567901235,0.9974683544303797,0.9975124378109452,0.9899497487437185,0.9937959056102517,0.002531645569620253,0.009876543209876543
baseline,0.8000000000000005,0.99375,0.9938042131350682,0.9999499921862791,0.9901234567901235,0.9974683544303797,0.9975124378109452,0.9899497487437185,0.9937959056102517,0.002531645569620253,0.009876543209876543
baseline,0.8100000000000005,0.99,0.9900249376558603,0.9999499921862791,0.980246913580247,1.0,1.0,0.9801488833746899,0.9901234567901235,0.0,0.019753086419753086
