column,table,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
total_volume_pool,readiness_training_base,4000.0,1.4620158441335762,0.3314674535267987,0.5002200465879143,0.5440092428652487,0.7128891159878644,1.273187789587772,1.606,1.606,1.9002346623080917,1.9783611578045528,1.9991132390035389
revenue_per_kent_leg,readiness_training_base,4000.0,88.1419429258917,22.419858476027137,25.06162254994167,27.143411214081173,38.748046295780505,75.01714981096728,97.85,97.85,119.26633477750032,123.99973394438014,124.997640020405
high_acuity_share,readiness_training_base,4000.0,0.16328731906037797,0.08959000630086639,5.2561808979793263e-05,0.0030662054575911536,0.014808267781022757,0.07489084484193947,0.2002499999999999,0.2002499999999999,0.3123056275841523,0.3422490646728381,0.3499582544623663
non_billable_noshow,readiness_training_base,4000.0,0.08061947563969815,0.07276094618848601,1.7111571302618395e-05,0.002192034464602877,0.011388508208635927,0.0495,0.0495,0.09055405857201297,0.2688480017562587,0.3346794834819653,0.3497735514066513
road_hours_per_vehicle,readiness_training_base,4000.0,11.386552429149525,2.6863206983651646,4.013068647847687,4.398954497634007,5.62344097469719,9.657577119567403,12.545,12.545,15.172206481567578,15.790998207679074,15.999630802181736
contract_concentration,readiness_training_base,4000.0,0.18362939134353642,0.14568177918024064,0.0500019752834311,0.05367553804017571,0.06661086892525783,0.124,0.124,0.1838159291124914,0.5802292515062122,0.714838096412434,0.7493795083520753
cost_per_road_hour,readiness_training_base,4000.0,44.31292382985451,12.362410480830277,28.003052016057083,28.454027963038246,30.676731042769212,38.75,38.75,48.07598965360687,75.28660705771783,83.04974519492386,84.98998026072051
label_ready,readiness_training_base,4000.0,0.50675,0.5000169414484211,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
total_revenue,securecare_profit_base,39.0,2513.1702564102566,4089.066988458683,131.5,133.97,138.0,538.25,1091.5,3128.205,6187.819,17585.924199999954,24503.41
total_cost,securecare_profit_base,42.0,1945.5414285714282,3288.1101092770014,0.0,0.0,0.0,762.875,794.635,3126.7375,4141.575999999999,14045.16509999994,20441.94
profit_margin,securecare_profit_base,42.0,-0.3157428971349924,1.352381081058487,-4.694980988593156,-4.615603276023585,-4.284138241088324,-0.38974274799226194,0.09705146530013584,0.31827586106524813,0.9802987816881041,0.9982176603773585,1.0
dollar_profit,securecare_profit_base,42.0,388.1166666666666,1019.7684921820022,-1141.9600000000005,-971.2319000000003,-621.0,-323.96750000000003,99.72500000000002,945.46,2030.1690000000008,3364.957899999992,4061.4699999999975
fixed_overhead_cost,securecare_profit_base,37.0,1013.5135135135135,1576.879330647537,0.0,120.6,335.0,335.0,335.0,1675.0,2034.9999999999966,6963.000000000004,9375.0
fixed_operating_cost,securecare_profit_base,37.0,567.5675675675676,878.3045707036479,0.0,75.6,210.0,210.0,210.0,1050.0,1050.0,3738.0000000000023,5250.0
gas,securecare_profit_base,38.0,85.02842105263157,136.30422262552122,2.88,3.2537,11.387000000000002,18.9625,41.94,114.40249999999999,207.998,593.0530000000016,816.94
